Id,SalePrice
1461,115321.89208121914
1462,161066.8199989139
1463,175563.559260122
1464,187610.24586142946
1465,198138.25148959295
1466,172167.20797476795
1467,172873.22136774156
1468,165056.54389376787
1469,183633.95788052474
1470,118812.93836998085
1471,186259.4706659839
1472,96575.63264144113
1473,95934.7470417202
1474,145813.9133571679
1475,118891.49290724099
1476,354173.00981447886
1477,252541.37806159735
1478,281384.8841868183
1479,294542.3325759181
1480,475015.77789119846
1481,323558.3431597467
1482,207307.05309773734
1483,169272.16185774375
1484,168240.20320223903
1485,180531.5749042639
1486,196468.0228274602
1487,317970.7281719348
1488,239934.275760675
1489,195595.55070855332
1490,218541.33266801224
1491,196364.38541357647
1492,94133.3243127304
1493,181684.47532730148
1494,295012.0952079754
1495,285280.24155961187
1496,226170.34347891784
1497,182199.1920090408
1498,171846.58067618427
1499,163322.76401236886
1500,159342.9960755372
1501,169886.97582069814
1502,153792.9686196655
1503,300708.552429923
1504,239620.4521035026
1505,217401.78435334715
1506,182215.27443482762
1507,242874.80269072668
1508,198679.17634058485
1509,156627.4260827079
1510,144003.46117033195
1511,147876.84293270897
1512,168030.10749346623
1513,147763.2988193401
1514,139457.3789495311
1515,195404.77602403006
1516,145878.3913712957
1517,163435.24589427168
1518,125823.83306666352
1519,219224.25572535943
1520,129479.92887190855
1521,130818.99361241277
1522,166200.43754947901
1523,110033.05454868118
1524,120620.21165712591
1525,115905.09683948441
1526,110173.62527491237
1527,107570.27425924083
1528,130747.26471560942
1529,148678.12272165474
1530,181150.5321992612
1531,113970.46565673781
1532,97103.69878300512
1533,142719.95286575865
1534,116699.68560842342
1535,142817.6060785296
1536,109738.95997115475
1537,68794.39448650189
1538,147550.10027723457
1539,193080.0906285026
1540,83038.35743600232
1541,132269.05970901198
1542,131508.11733881372
1543,186784.0872549532
1544,84311.11251992885
1545,110574.32440635942
1546,128786.72477068179
1547,127249.63813041113
1548,129078.71202232061
1549,116656.01846416069
1550,128735.53298869253
1551,109841.38885918126
1552,139932.5979788769
1553,136648.89185649162
1554,116030.13965315893
1555,156720.63123326076
1556,89950.97313497867
1557,99448.34482054124
1558,97297.77602230675
1559,73494.26043506603
1560,130990.77011529448
1561,115691.08741794212
1562,129248.29955319685
1563,117339.58220993378
1564,156720.75887856167
1565,143292.00831609155
1566,233847.70738732055
1567,78092.88996357465
1568,228870.5987516388
1569,130960.03872403034
1570,141262.98347497397
1571,123851.9189269497
1572,145316.97321362767
1573,247268.10948331782
1574,124908.12589728425
1575,238347.98310002906
1576,240784.18297943292
1577,186399.4435115474
1578,139037.10749762508
1579,137441.15746639986
1580,191691.53521273105
1581,153411.64265419389
1582,124763.85213348486
1583,312694.3864657862
1584,224323.38438299476
1585,136561.2536358198
1586,72284.1949751547
1587,105236.85725410015
1588,156925.3827349019
1589,96698.77648258246
1590,134883.1462117127
1591,94006.30263123263
1592,119238.8799951441
1593,124405.11226871204
1594,124773.82989682385
1595,104030.9233502257
1596,218111.08420480753
1597,177600.31590378232
1598,206508.25415737779
1599,174358.8786654404
1600,168457.38964552162
1601,70204.41035821474
1602,114079.2763063024
1603,90511.7879984248
1604,265024.8947651112
1605,248321.05235093177
1606,162023.3122127848
1607,170146.6135508206
1608,211909.01797769943
1609,188352.0033071997
1610,153997.65242730072
1611,141150.61063184738
1612,171051.01234218563
1613,160787.62617591795
1614,120254.70104525457
1615,88177.9962413628
1616,78949.20103522674
1617,93610.52722249876
1618,123709.24405014634
1619,140506.91520713887
1620,166048.77818687324
1621,136012.1964641159
1622,141036.91446133945
1623,268118.8987624738
1624,214391.80230532793
1625,115312.32254999632
1626,164505.31806001478
1627,183199.38855426846
1628,284042.0301969306
1629,178388.00384041708
1630,344142.22779327404
1631,212708.19095274905
1632,239138.78308081924
1633,172468.88651768627
1634,185135.16733593715
1635,177292.66637862005
1636,153398.17157446683
1637,192329.76981418265
1638,191537.33897209598
1639,180097.83517491206
1640,257972.80767532406
1641,179710.14681293597
1642,230711.69857315722
1643,222264.89456782563
1644,231644.76896732542
1645,207135.2966831738
1646,153107.81504459336
1647,152487.71364756222
1648,133008.6175393633
1649,138114.54618085639
1650,113511.1017711131
1651,117437.79815397318
1652,96412.70099382842
1653,100129.49015809322
1654,150013.78442765382
1655,143335.22980399764
1656,142639.97304401948
1657,149323.95374471112
1658,150722.80839793407
1659,125615.46590280908
1660,156492.52154903798
1661,430048.47349518497
1662,392465.31285179546
1663,376120.0878458236
1664,480506.81978719484
1665,304696.74437031394
1666,324357.7287454471
1667,365853.27054628753
1668,335181.1148970903
1669,293159.4040564775
1670,335938.4105480705
1671,258550.308453288
1672,405367.35135535785
1673,296465.54692639166
1674,249237.14049793684
1675,190551.1661243284
1676,189367.28610763798
1677,208947.23379038135
1678,447912.0385131965
1679,373327.4661963666
1680,307577.03621755517
1681,233731.1444901301
1682,309604.3446140015
1683,183695.86510737296
1684,176789.94312533754
1685,177495.9989776709
1686,171948.69530883682
1687,172839.75570178073
1688,190590.2930411143
1689,193834.38851736294
1690,194876.67623324442
1691,183135.17920382624
1692,262737.57703313377
1693,169042.84698608925
1694,179552.1758146084
1695,165631.16913825105
1696,272725.04738947604
1697,167123.79455981858
1698,344779.80236971786
1699,316111.8705354306
1700,247132.74713077233
1701,268911.8255560116
1702,248386.77370028343
1703,254386.23294280082
1704,292251.2154581261
1705,236082.91545800428
1706,409805.60907306673
